,HaloMass,BHMdot,X,Y,Z,Metallicity,HalfMassRadius,MassInsideR,GasMass,DMMass,StellarMass,BHMass,SFR,Bmags,Vmags,Vx,Vy,Vz,Vdisp,Vmax
9,9.89365005493164,0.0001918902707984671,17426.244140625,23030.501953125,35727.61328125,0.0,67.8337173461914,0.0,1.485189437866211,8.380560874938965,0.01807388663291931,0.009825903922319412,4.381446838378906,-19.42043685913086,-19.166852951049805,54.80466842651367,20.257871627807617,-80.98074340820312,102.71469116210938,179.1248779296875
10,8.872210502624512,5.7329594710608944e-05,54621.7109375,72854.7421875,14345.9697265625,0.0,141.20016479492188,0.0,1.5280381441116333,7.336518287658691,0.0,0.007654504384845495,2.299628734588623,9.999999933815813e+36,9.999999933815813e+36,-104.26524353027344,-92.54627990722656,71.56121826171875,78.24018859863281,139.95819091796875
11,0.36741116642951965,0.0,54544.04296875,72576.1328125,14477.0849609375,0.0,24.60970687866211,0.0,0.08523738384246826,0.2821737825870514,0.0,0.0,0.0,9.999999933815813e+36,9.999999933815813e+36,-114.37482452392578,-77.0790023803711,3.2155258655548096,38.727474212646484,62.02729415893555
12,8.657424926757812,0.0002744343946687877,45664.0859375,73732.7265625,44073.69140625,0.002642026636749506,48.598243713378906,0.4650198519229889,1.3577476739883423,7.251865863800049,0.04017449542880058,0.007636309135705233,10.161670684814453,-19.980302810668945,-19.94251251220703,7.983598232269287,-114.5193099975586,15.256567001342773,118.09721374511719,196.6233367919922
13,0.3887360095977783,0.0,45502.56640625,73671.265625,44121.8515625,0.0,29.896686553955078,0.0,0.10656224191188812,0.2821737825870514,0.0,0.0,0.1169997975230217,9.999999933815813e+36,9.999999933815813e+36,146.4302520751953,-67.32675170898438,21.10931396484375,34.040061950683594,56.83315658569336
14,8.427773475646973,0.00023258462897501886,52769.171875,74629.5390625,11850.232421875,0.0016253308858722448,49.614383697509766,0.6651961207389832,1.2996528148651123,7.08256196975708,0.037307094782590866,0.008252128027379513,11.248739242553711,-20.077219009399414,-19.970191955566406,34.35740280151367,-64.07997131347656,131.3247528076172,118.36544036865234,196.71717834472656
15,5.970229625701904,0.00015049843932501972,52266.21875,70596.125,42550.0,0.0,54.565826416015625,0.0,0.9866895079612732,4.966258525848389,0.010395510122179985,0.006886015646159649,3.9634859561920166,-18.669801712036133,-18.573169708251953,24.198741912841797,43.642303466796875,-175.51417541503906,95.35612487792969,154.50950622558594
16,1.8242210149765015,0.0,52381.9921875,70672.8515625,42561.03125,0.0,22.996479034423828,0.0,0.24404782056808472,1.580173134803772,0.0,0.0,0.8126412034034729,9.999999933815813e+36,9.999999933815813e+36,-110.03841400146484,-72.31703186035156,-196.24440002441406,83.27767944335938,133.53684997558594
17,5.8576273918151855,8.836105553200468e-05,25190.5859375,34952.60546875,45429.72265625,0.0,59.40383529663086,0.0,0.9361909031867981,4.909823894500732,0.004515715874731541,0.0070969900116324425,1.6830523014068604,-17.16954803466797,-17.127368927001953,13.953898429870605,189.23193359375,-52.12948989868164,92.56941223144531,150.77210998535156
18,1.0978424549102783,0.0,25201.72265625,35051.296875,45429.140625,0.0,24.47230339050293,0.0,0.2435527890920639,0.8465213179588318,0.007768278941512108,0.0,1.3716254234313965,-18.08298683166504,-17.93819808959961,34.5338134765625,18.445825576782227,22.384531021118164,72.11640930175781,110.06537628173828
19,8.042603492736816,0.000344903179211542,12889.4619140625,3789.819091796875,35845.83984375,0.0027433824725449085,48.052852630615234,0.6292751431465149,1.053130865097046,6.941474914550781,0.041689369827508926,0.0063080741092562675,5.620460033416748,-19.884498596191406,-19.930105209350586,-62.382999420166016,142.86036682128906,-65.46521759033203,119.5634994506836,198.24069213867188
20,6.841407299041748,0.00010841014591278508,32807.04296875,1204.8775634765625,74630.515625,0.002894442994147539,49.986446380615234,0.1459498107433319,1.0486812591552734,5.756344795227051,0.030001970008015633,0.006379000376909971,5.814878463745117,-19.758710861206055,-19.735179901123047,-79.22644805908203,16.853416442871094,-41.83694839477539,106.89799499511719,176.28919982910156
21,0.6032143831253052,0.0,32804.4375,1243.529296875,74741.40625,0.0,23.10874366760254,0.0,0.12351898849010468,0.4796954095363617,0.0,0.0,0.18731248378753662,9.999999933815813e+36,9.999999933815813e+36,-112.76836395263672,-37.56178665161133,-149.6764373779297,42.917030334472656,78.6641845703125
22,7.280510902404785,0.0003420272551011294,52051.52734375,70490.4765625,41917.3671875,0.0028359023854136467,49.9860725402832,0.3482307493686676,1.1102557182312012,6.123170852661133,0.0375528484582901,0.00953160971403122,2.96640944480896,-19.754491806030273,-19.758365631103516,126.35738372802734,58.99631881713867,10.477424621582031,105.98501586914062,178.30271911621094
23,5.446381092071533,0.00013069965643808246,9467.65234375,53979.95703125,49550.69921875,0.0,92.75421905517578,0.0,0.8890929222106934,4.54299783706665,0.005744150839745998,0.008546127937734127,0.8980262875556946,-17.21506690979004,-17.236589431762695,114.55523681640625,-34.06653594970703,-96.03712463378906,71.6668930053711,130.3951416015625
24,0.8062940239906311,0.0,9498.7412109375,54003.06640625,49512.7265625,0.0,27.976594924926758,0.0,0.15169326961040497,0.6489996910095215,0.005601061042398214,0.0,0.19962458312511444,-17.814502716064453,-17.654033660888672,65.83467864990234,-77.31348419189453,-84.3486328125,46.26519012451172,83.53303527832031
25,5.410850524902344,0.00013813564146403223,25052.115234375,25636.73046875,39794.8984375,0.0007482917280867696,53.92070007324219,0.16856834292411804,0.8482779264450073,4.54299783706665,0.01112251915037632,0.008452177047729492,1.5755009651184082,-18.78424072265625,-18.545412063598633,-12.308602333068848,137.58218383789062,100.8306884765625,87.91761016845703,150.01951599121094
26,0.7793903946876526,0.0,25012.40234375,25652.830078125,39774.375,0.0,27.248903274536133,0.0,0.1868254691362381,0.5925649404525757,0.0,0.0,0.21356724202632904,9.999999933815813e+36,9.999999933815813e+36,70.18380737304688,114.91010284423828,155.45863342285156,49.276885986328125,85.5380630493164
27,4.909847736358643,0.0,6900.78271484375,50646.18359375,40250.75,0.0,63.86666488647461,0.0,0.810798704624176,4.091519832611084,0.007529298309236765,0.0,1.4235621690750122,-18.072772979736328,-17.920507431030273,68.7703857421875,60.57347869873047,139.52101135253906,86.5605239868164,133.47457885742188
